listing_id,url,title,host_id,location_city,location_province,rv_type,rv_year,rv_make,rv_model,length_ft,sleeps,num_slide_outs,weight_lbs,hitch_size,hitch_weight_lbs,base_price,security_deposit,pet_friendly,delivery_available,delivery_max_km,delivery_price_per_km,overall_rating,num_reviews,accuracy_rating,value_rating,cleanliness_rating,communication_rating,flexible_pickup,flexible_dropoff,towing_experience_required,host_name,response_rate,is_superhost
229,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_coachmen_apex-221_1d3417,Rent my 2024 Coachmen Apex 221 from $138/night | RVezy,229.0,Calgary,AB,Travel Trailer,2024.0,Coachmen,Apex 221,26.0,426,1.0,4500.0,"2""",520.0,138.0,1.0,0,0,,,,,,,,,0,0,1,Peter,100.0,0.0
233,https://www.rvezy.com/rv-rental/alberta_calgary_motorhome_classb_ram_promaster-3500-159-ext_a9ec47,"Cozy custom crafted van with Shower, Toilet, A/C , Heat, Solar and more",220.0,Calgary,AB,Class B,,,,21.0,221,1.0,,,,,1.0,0,0,,,,,,,,,0,0,0,Tomas,100.0,0.0
234,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_other_shadow-cruiser_df47e4,Rent my 2016 Cruiser RV Shadow cruiser from $138/night | RVezy,,Calgary,AB,Travel Trailer,2016.0,Cruiser,RV Shadow cruiser,22.0,322,1.0,3900.0,"2 5/16""",540.0,138.0,500.0,1,0,,,,,5.0,5.0,5.0,5.0,0,0,0,,,
235,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_forest-river_cherokee-264dbh_05ed4d,Rent my 2023 Forest River Cherokee 264DBH from $132/night | RVezy,235.0,Calgary,AB,Travel Trailer,2023.0,Forest,River Cherokee 264DBH,30.0,930,1.0,6722.0,"2""",884.0,132.0,1.0,0,0,,,5.0,4.0,5.0,5.0,5.0,5.0,1,1,0,Eric,100.0,0.0
236,https://www.rvezy.com/rv-rental/alberta_calgary_motorhome_classc_forest-river-sunseeker-2450-available-for-rent-in-and-around-calgary_sunseeker-by-forest-river-2450,Rent my 2008 Forest River Sunseeker 2450 from $339/night | RVezy,236.0,Calgary,AB,Class C,2008.0,Forest,River Sunseeker 2450,26.0,426,1.0,,,,339.0,1.0,0,1,50.0,2.0,44.5,2.0,4.5,4.5,4.5,4.5,0,0,0,Prabal,100.0,0.0
239,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_jayco_jayflight-264-bh_cbfc61,Family adventures in my Jayco Jayflight 264 bh Travel Trailer,239.0,Calgary,AB,Travel Trailer,,,,26.0,826,,5200.0,"2""",200.0,,1.0,1,0,,,,,,,,,0,1,1,Erin,100.0,0.0
240,https://www.rvezy.com/rv-rental/alberta_calgary_traveltrailer_traveltrailer_forest-river_wildcat-t26bhs_e9531d,Rent my 2012 Forest River Wildcat T26BHS from $200/night | RVezy,240.0,Calgary,AB,Travel Trailer,2012.0,Forest,River Wildcat T26BHS,26.0,826,1.0,6190.0,"2 5/16""",700.0,200.0,1.0,1,0,,,,,,,,,1,1,1,Benjamin,100.0,0.0
242,https://www.rvezy.com/rv-rental/alberta_calgary_motorhome_campervan_chevrolet_chevy-express-2500,Rent my 2011 Chevron Chevy express 2500 from $167/night | RVezy,242.0,Calgary,AB,,2011.0,Chevron,Chevy express 2500,20.0,220,,,,,167.0,500.0,0,1,100.0,2.0,4.9,23.0,5.0,4.9,5.0,5.0,1,1,0,Elissa,100.0,0.0
244,https://www.rvezy.com/rv-rental/alberta_calgary_motorhome_classc_coachmen_prism-2250le,Rent my 2016 Coachmen Prism 2250LE from $345/night | RVezy,244.0,Calgary,AB,Class C,2016.0,Coachmen,Prism 2250LE,24.0,424,2.0,,,,345.0,2.0,0,1,50.0,3.0,4.3,11.0,4.3,4.4,4.2,4.5,0,0,0,Steve,86.0,0.0
250,https://www.rvezy.com/rv-rental/alberta_calgary_motorhome_classc_majestic-leisure-craft_e450-ford,Rent my 2004 Majestic Leisure Craft E450 Ford from $288/night | RVezy,250.0,Calgary,AB,Class C,2004.0,Majestic,Leisure Craft E450 Ford,25.0,725,1.0,,,,288.0,1.0,1,1,50.0,2.25,4.8,32.0,4.9,4.8,4.6,5.0,1,1,0,Nerpaul,93.0,0.0
